Station Name,Station Latitude,Station Longitude
Pleasant Valley P.P. - yard,36.3080,-120.2490
SGT (temp),36.2367,-120.3810
SUB (temp),36.3075,-120.2510
Skunk Hollow,36.2750,-120.3060
Sulphur Baths (temp),36.1210,-120.3970
TRA (temp),36.1657,-120.3090
VEW (temp),36.2108,-120.3130
YUB (temp),36.1447,-120.1710
Burnett Construction,36.1380,-120.3570
Coalinga-14th & Elm (Old CHP),36.1510,-120.3530
Sulphur Baths (temp),36.1210,-120.3970
Anticline Ridge Free-Field,36.2330,-120.3330
Anticline Ridge Pad,36.2330,-120.3330
Burnett Construction,36.1380,-120.3570
Coalinga-14th & Elm (Old CHP),36.1510,-120.3530
Oil City,36.2290,-120.3600
Oil Fields Fire Station - FF,36.2470,-120.3140
Oil Fields Fire Station - Pad,36.2470,-120.3140
Palmer Ave,36.2090,-120.2920
Skunk Hollow,36.2750,-120.3060
Sulphur Baths (temp),36.1210,-120.3970
Transmitter Hill,36.2490,-120.3430
Burnett Construction,36.1380,-120.3570
Coalinga-14th & Elm (Old CHP),36.1510,-120.3530
Oil City,36.2290,-120.3600
Oil Fields Fire Station - FF,36.2470,-120.3140
Oil Fields Fire Station - Pad,36.2470,-120.3140
Palmer Ave,36.2090,-120.2920
Pleasant Valley P.P. - FF,36.3080,-120.2490
Pleasant Valley P.P. - yard,36.3080,-120.2490
Skunk Hollow,36.2750,-120.3060
Sulphur Baths (temp),36.1210,-120.3970
Transmitter Hill,36.2490,-120.3430
Coalinga-14th & Elm (Old CHP),36.1510,-120.3530
Sulphur Baths (temp),36.1210,-120.3970
Coalinga-14th & Elm (Old CHP),36.1510,-120.3530
Sulphur Baths (temp),36.1210,-120.3970
Ierissos,40.4000,23.8800
"Rio Dell Overpass, E Ground",40.5030,-124.0990
"Rio Dell Overpass, W Ground",40.5030,-124.0990
Coalinga-14th & Elm (Old CHP),36.1510,-120.3530
Sulphur Baths (temp),36.1210,-120.3970
SMART1 C00,24.6738,121.7646
SMART1 E01,24.6487,121.7644
SMART1 E02,24.6296,121.7610
SMART1 I01,24.6755,121.7650
